model,accuracy,f1,precision,recall,mcc
knn,0.8958724202626641,0.8948151039390291,0.8955559155568554,0.8958724202626641,0.8744811758650803
logreg,0.6679174484052532,0.6629723125805249,0.6638497835254931,0.6679174484052532,0.5987573242541708
svm,0.8151969981238274,0.8121930041248667,0.8205248746388056,0.8151969981238274,0.7781959952978716
DNN,0.8658536585365854,0.8653521317505614,0.8677130733670831,0.8658536585365854,0.8384718603650821
knn,0.9052532833020638,0.9045158214292829,0.9051254334085314,0.9052532833020638,0.885346653678779
logreg,0.6810506566604128,0.6749747785605401,0.674970977592589,0.6810506566604128,0.6133126985732377
svm,0.8339587242026266,0.8310495959235252,0.836614321069503,0.8339587242026266,0.7994164178231944
DNN,0.9061913696060038,0.9062982616294708,0.9080432948711832,0.9061913696060038,0.8865924975677941
knn,0.900562851782364,0.9000132468764601,0.9028454588083534,0.900562851782364,0.880222395505735
logreg,0.6688555347091932,0.661661387977353,0.6621825254916993,0.6688555347091932,0.599833607642584
svm,0.8208255159474672,0.8181122824389098,0.8243428726086142,0.8208255159474672,0.7840458513375048
DNN,0.9155722326454033,0.9153420950905269,0.91764879923606,0.9155722326454033,0.898314516089462
knn,0.8883677298311444,0.8871979453089475,0.8896210401084339,0.8883677298311444,0.8653921246072185
logreg,0.6641651031894934,0.6589480929714568,0.6576813118088916,0.6641651031894934,0.5933348177187285
svm,0.8123827392120075,0.8085217079427061,0.8134956776046524,0.8123827392120075,0.7734623553813471
DNN,0.9662288930581614,0.9661405134397967,0.9662620555180916,0.9662288930581614,0.9591676171559173
knn,0.9126760563380282,0.9118541625060748,0.912971246135629,0.9126760563380282,0.8945521164786168
logreg,0.6779342723004694,0.6716472916022828,0.6737048083348987,0.6779342723004694,0.6104456665547657
svm,0.8300469483568075,0.8267190534880534,0.8330435327524102,0.8300469483568075,0.7951260427883655
DNN,0.964319248826291,0.9641695147681517,0.964961650102813,0.964319248826291,0.9569289641718233
knn,0.8892018779342723,0.8883677222456685,0.8900110409001301,0.8892018779342723,0.8667942620097869
logreg,0.6807511737089202,0.6771978840640654,0.6788248912711595,0.6807511737089202,0.6150581860329535
svm,0.8215962441314554,0.8177115550086853,0.8269691591647056,0.8215962441314554,0.7862102757496665
DNN,0.9915492957746479,0.991565352737651,0.9917477084730607,0.9915492957746479,0.9898551363731736
knn,0.8938967136150234,0.8929479731091263,0.8938944686531997,0.8938967136150234,0.8708509278476705
logreg,0.6638497652582159,0.6600685515348119,0.6585010736546503,0.6638497652582159,0.590926196444743
svm,0.8065727699530516,0.8033575180480964,0.8076699156678424,0.8065727699530516,0.764792910786264
DNN,0.9511737089201878,0.9510995369432745,0.9530279437495498,0.9511737089201878,0.9411867204938353
knn,0.8863849765258216,0.8845473804535204,0.8880520885039649,0.8863849765258216,0.8627740288442594
logreg,0.6582159624413145,0.6518670168491149,0.6501722833415451,0.6582159624413145,0.5848390241227156
svm,0.8065727699530516,0.8013050612170053,0.8047113720859954,0.8065727699530516,0.7656957027794732
DNN,0.9877934272300469,0.9878277563519682,0.9881326137758476,0.9877934272300469,0.9852353975146825
knn,0.8967136150234741,0.8958005453082414,0.898333441115327,0.8967136150234741,0.8757276253673119
logreg,0.6938967136150235,0.6903831431639205,0.6903919299243542,0.6938967136150235,0.6294372885539126
svm,0.8394366197183099,0.8346675034460797,0.8383607531664297,0.8394366197183099,0.8066450957638084
DNN,0.9887323943661972,0.9887372770378369,0.9888152874733995,0.9887323943661972,0.9864022295968132
knn,0.9061032863849765,0.9056631490137118,0.9063527946800329,0.9061032863849765,0.8869760229350133
logreg,0.6676056338028169,0.66276764973956,0.6661613537056696,0.6676056338028169,0.5999938756566524
svm,0.8169014084507042,0.8152729624287968,0.8198808377707681,0.8169014084507042,0.779991854418955
DNN,0.9934272300469483,0.9934590939113033,0.9936732695639074,0.9934272300469483,0.9921103897783974
DNN Average ,0.9530841459010473,0.952999153366054,0.9540025696130996,0.9530841459010473,0.9434265329106981
knn Average ,0.8975032810999833,0.8965723050190062,0.8982762927870457,0.8975032810999833,0.8763117333139471
logreg Average ,0.6724242264091113,0.667248810904363,0.667644093865095,0.6724242264091113,0.6035938685554464
svm Average ,0.8203490738049309,0.8168910244066725,0.8225613316529726,0.8203490738049309,0.783358250212645
