model,accuracy,f1,precision,recall,mcc
knn,0.848968105065666,0.8479689956342749,0.8479075038559886,0.848968105065666,0.8176759871964068
svm,0.7504690431519699,0.7449097540954996,0.7613528258965929,0.7504690431519699,0.7013542066815229
DNN,0.8114446529080676,0.8093913973853936,0.8094515586056377,0.8114446529080676,0.7725845595622672
knn,0.8789868667917449,0.8780034064367145,0.87806639615347,0.8789868667917449,0.8534690608134203
svm,0.7664165103189493,0.7594461483768147,0.7710260915713609,0.7664165103189493,0.7186759702956752
DNN,0.9015009380863039,0.90063419092519,0.9050095152261035,0.9015009380863039,0.8813293618784601
knn,0.8527204502814258,0.8521656733413118,0.8540548355867535,0.8527204502814258,0.8220804304503285
svm,0.7298311444652908,0.722507305738275,0.7438311619209704,0.7298311444652908,0.6764329110965551
DNN,0.9277673545966229,0.927644359491026,0.9299706529483445,0.9277673545966229,0.9131246346614117
knn,0.8705440900562852,0.8693371887400014,0.8694239299482187,0.8705440900562852,0.8434190373262369
svm,0.7786116322701688,0.7743848382917313,0.7841948799920713,0.7786116322701688,0.7334740089868999
DNN,0.9699812382739212,0.9702579781387237,0.9718965615479468,0.9699812382739212,0.9640155093166004
knn,0.863849765258216,0.8624928003422327,0.8627244836488361,0.863849765258216,0.8353139993772511
svm,0.7699530516431925,0.7645377581892212,0.7756239370638701,0.7699530516431925,0.7230154764610218
DNN,0.9708920187793427,0.9707904503751787,0.972083587637606,0.9708920187793427,0.9649712493124785
knn,0.8431924882629108,0.8421254331935883,0.8426726570280392,0.8431924882629108,0.8111748799786662
svm,0.748356807511737,0.7424387683336235,0.7540944047078114,0.748356807511737,0.6984734726412825
DNN,0.9605633802816902,0.9605687277256284,0.9613943052779099,0.9605633802816902,0.9526107232680789
knn,0.8591549295774648,0.8582202115586923,0.8586852428159018,0.8591549295774648,0.8287850810127293
svm,0.7652582159624414,0.7600502953991483,0.7705583572019632,0.7652582159624414,0.7160197867278429
DNN,0.964319248826291,0.9646589306258895,0.9664263125876513,0.964319248826291,0.9569107536369817
knn,0.8657276995305164,0.865469560080266,0.8658619474908575,0.8657276995305164,0.8372412255380847
svm,0.7605633802816901,0.7558075565419141,0.7645541793840116,0.7605633802816901,0.7105601897670456
DNN,0.9305164319248826,0.930921316453061,0.9341998281600773,0.9305164319248826,0.9165193603096452
knn,0.8760563380281691,0.8743466546478823,0.8758095180526391,0.8760563380281691,0.850383818571234
svm,0.7661971830985915,0.7600756437643463,0.7689837210075818,0.7661971830985915,0.7184954835662513
DNN,0.9821596244131455,0.9823712598492091,0.9832871107147654,0.9821596244131455,0.9785804147554311
knn,0.860093896713615,0.8591458593933767,0.8591216430643609,0.860093896713615,0.8313866038534183
svm,0.7690140845070422,0.7661578369788897,0.7755553120972195,0.7690140845070422,0.7234789476712101
DNN,0.9906103286384976,0.9906510732115876,0.9909681329888461,0.9906103286384976,0.988728024471592
DNN Average ,0.9409755216728766,0.9407889684180887,0.9424687565694889,0.9409755216728766,0.9289374591172948
knn Average ,0.8619294629566013,0.8609275783368341,0.8614328157645066,0.8619294629566013,0.8330930124117776
svm Average ,0.7604671053211074,0.7550315905709464,0.7669774870843453,0.7604671053211074,0.7119980453895307
